sube_adi;sube_il_kodu;sube_kodu;
ZEYTİNBURNU/İSTANBUL;034;004600189034;
ZİNCİRLİKUYU/İSTANBUL;034;004600436034;
ZORLU CENTER ŞUBESİ;034;004601394034;
4.LEVENT ŞUBESİ;034;004601233034;
ALİAĞA/İZMİR;035;004600191035;
ALSANCAK/IZMIR;035;004600102035;
ATATURK ORGANIZE SANAYI BÖLGESI/IZMIR;035;004600634035;
BALÇOVA;035;004601433035;
BASMAHANE/İZMİR;035;004600052035;
BAYRAKLI/İZMİR;035;004600350035;
BERGAMA;035;004600106035;
BORNOVA/İZMİR;035;004600164035;
BOSTANLI/İZMİR;035;004600299035;
BUCA/İZMİR;035;004600248035;
ÇAMDİBİ/İZMİR;035;004600209035;
ÇEŞME;035;004600654035;
ÇİĞLİ/İZMİR;035;004600409035;
DİKİLİ ŞUBESI;035;004601095035;
EGE KURUMSAL;035;004600848035;
FOÇA/IZMIR;035;004600685035;
GAZIEMIR ÇARŞI ŞUBESI;035;004601282035;
GAZİEMİR İZMİR;035;004600647035;
GİRNE BULVARI ŞUBESİ;035;004600597035;
GÖZTEPE/İZMİR;035;004600383035;
GÜNDOĞDU;035;004600304035;
HALİTZİYA/İZMİR;035;004600284035;
HATAY/İZMİR;035;004600113035;
IŞIKKENT ŞUBESI;035;004600738035;
İZMİR;035;004600006035;
KARABAĞLAR/İZMİR;035;004600613035;
KARŞIYAKA/ÇARŞI/IZMIR;035;004600009035;
KARŞIYAKA/SAHİL/IZMIR;035;004600110035;
KEMALPAŞA/İZMİR;035;004600573035;
KEMERALTI IZMIR;035;004600023035;
KONAK/İZMİR;035;004600061035;
LIMAN /ALSANCAK;035;004600408035;
MANAVKUYU ŞUBESİ;035;004600827035;
MAVİŞEHİR ŞUBESİ;035;004601442035;
MENEMEN;035;004600087035;
MTK ÇARŞISI;035;004600717035;
NARLIDERE/İZMİR;035;004600348035;
ÖDEMİŞ;035;004600091035;
ÖZEL BANKACILIK IZMIR;035;004600772035;
ÖZKANLAR/BORNOVA;035;004600746035;
PINARBAŞI;035;004600716035;
SEFERİHİSAR/İZMİR;035;004600506035;
SELÇUK/İZMİR;035;004600542035;
ŞEMİKLER/İZMİR;035;004600410035;
ŞİRİNYER/İZMİR;035;004600428035;
TİRE/İZMİR;035;004600159035;
TORBALI/İZMİR;035;004600463035;
URLA/IZMIR ŞUBESI;035;004600476035;
ÜÇKUYULAR/İZMİR;035;004600346035;
ÜÇYOL/İZMİR;035;004600291035;
YENİ GIDA ÇARŞISI/İZMİR;035;004600616035;
4.SANAYİ SİTESİ;035;004600678035;
KARS;036;004600053036;
KASTAMONU;037;004600190037;
ARGINCIK/KAYSERİ;038;004600593038;
BELSİN ŞUBESİ;038;004600187038;
ERCİYES ŞUBESİ;038;004601173038;
FEVZİ ÇAKMAK/KAYSERİ;038;004600611038;
KAYSERI OSB ŞUBESİ;038;004600843038;
KAYSERİ;038;004600007038;
